,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
88,WP_000091148.1,2.7.1.40,Escherichia coli,R89,Pyruvate kinase,R00659,MRL,C00022; C00075,C00015; C00074,Km_C00015: 0.152999684; Km_C00074: 0.144000247; Km_C00022: 0.87643075; Km_C00075: 0.223727554,Kcat_F: 6.6693660065; Kcat_R: 5.188231512,C00286;C05625;C00035;C00044;C00389;C00075;C00361;C00131;C00041;C00158;C00454;C00009;C00104;C00122;C00008;C00015;C00026;C00063;C00302;C00209;C00074;C01401;C00022;C00025;C00112;C00201;C00206;C00002;C00081;C00091,C00075_KI: 0.223727554;C00112_KI: 0.036078647;C00008_KI: 0.051032659;C00091_KI: 0.033106904;C00041_KI: 1.001196623;C00302_KI: 1.237834454;C00206_KI: 0.018646972;C00063_KI: 0.066866696;C00104_KI: 0.055906694;C01401_KI: 1.001196623;C00389_KI: 0.008297376;C00201_KI: 0.3355317063571429;C00131_KI: 0.016942503;C00122_KI: 0.454898477;C05625_KI: 0.031311039;C00044_KI: 0.055115532;C00286_KI: 0.020049427;C00026_KI: 0.352110684;C00015_KI: 0.152999684;C00454_KI: 0.3355317063571429;C00361_KI: 0.019646076;C00209_KI: 0.660195351;C00158_KI: 0.496947676;C00081_KI: 0.071252503;C00074_KI: 0.144000247;C00009_KI: 0.995755255;C00022_KI: 0.87643075;C00002_KI: 0.044206705;C00035_KI: 0.031300213;C00025_KI: 1.237834454,Keq: 3.4618394465876975e-05
89,WP_000091148.1,2.7.1.40,Escherichia coli,R90,Pyruvate kinase,R00724,MRL,C00022; C00081,C00074; C00104,Km_C00074: 0.144000247; Km_C00104: 0.055906694; Km_C00022: 0.87643075; Km_C00081: 0.071252503,Kcat_F: 8.4022360785; Kcat_R: 8.0710157245,C00286;C05625;C00035;C00044;C00389;C00075;C00361;C00131;C00041;C00158;C00454;C00009;C00104;C00122;C00008;C00015;C00026;C00063;C00302;C00209;C00074;C01401;C00022;C00025;C00112;C00201;C00206;C00002;C00081;C00091,C00075_KI: 0.223727554;C00112_KI: 0.036078647;C00008_KI: 0.051032659;C00091_KI: 0.033106904;C00041_KI: 1.001196623;C00302_KI: 1.237834454;C00206_KI: 0.018646972;C00063_KI: 0.066866696;C00104_KI: 0.055906694;C01401_KI: 1.001196623;C00389_KI: 0.008297376;C00201_KI: 0.3355317063571429;C00131_KI: 0.016942503;C00122_KI: 0.454898477;C05625_KI: 0.031311039;C00044_KI: 0.055115532;C00286_KI: 0.020049427;C00026_KI: 0.352110684;C00015_KI: 0.152999684;C00454_KI: 0.3355317063571429;C00361_KI: 0.019646076;C00209_KI: 0.660195351;C00158_KI: 0.496947676;C00081_KI: 0.071252503;C00074_KI: 0.144000247;C00009_KI: 0.995755255;C00022_KI: 0.87643075;C00002_KI: 0.044206705;C00035_KI: 0.031300213;C00025_KI: 1.237834454,Keq: 6.947629964764243e-05
95,WP_001127419.1,4.2.1.9,Escherichia coli,R96,Dihydroxy-acid dehydratase,R01209,MRL,C04039,C00001; C00141,Km_C00001: 3.342954397; Km_C00141: 0.432823241; Km_C04039: 1.5,Kcat_F: 12.39697346; Kcat_R: 8.578950342,C06007;C00671;C04039;C00001;C00141;C04272,C00141_KI: 0.432823241;C04039_KI: 0.426905453;C00671_KI: 0.513797998;C00001_KI: 3.342954397;C06007_KI: 0.771898925;C04272_KI: 0.426905453,Keq: 2974719.667973546
99,WP_000817178.1,2.3.1.41,Escherichia coli,R100,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R02768,MRL,C00173; C01209,C00011; C00229; C00685,Km_C00011: 0.139709994; Km_C00229: 0.07560499700000001; Km_C00685: 0.07560499700000001; Km_C00173: 0.07560499700000001; Km_C01209: 0.0115,Kcat_F: 0.011; Kcat_R: 3.630524813,C05745;C05750;C01209;C05762;C00173;C05223;C03939;C05752;C05756;C05746;C00229;C05755;C00011;C05764;C05749;C05759;C16219;C05753;C05761;C05744;C00685,C05759_KI: 0.0747066095;C05744_KI: 0.0747066095;C05755_KI: 0.0747066095;C16219_KI: 0.009703225;C01209_KI: 0.0747066095;C00229_KI: 0.0747066095;C05752_KI: 0.0747066095;C05749_KI: 0.0747066095;C05223_KI: 0.0747066095;C05753_KI: 0.0747066095;C00011_KI: 0.139709994;C05764_KI: 0.0747066095;C05761_KI: 0.0747066095;C00173_KI: 0.0747066095;C05762_KI: 0.0747066095;C05756_KI: 0.0747066095;C03939_KI: 0.0747066095;C00685_KI: 0.0747066095;C05750_KI: 0.0747066095;C05746_KI: 0.0747066095;C05745_KI: 0.0747066095,Keq: 1
115,WP_000078239.1,6.2.1.1,Escherichia coli,R116,Acetate-coa ligase,R00926,MRL,C00010; C05983,C00020; C00100,Km_C00020: 0.053331587; Km_C00100: 0.054458927; Km_C00010: 0.077155121; Km_C05983: 0.041168746,Kcat_F: 5.265324134; Kcat_R: 4.683966271999999,C00163;C00013;C00100;C05993;C00020;C00024;C05983;C00010;C00002;C00033,C05993_KI: 0.045171168;C00010_KI: 0.077155121;C00020_KI: 0.053331587;C00013_KI: 0.13318713;C00163_KI: 1.640108466;C00024_KI: 0.055413216;C05983_KI: 0.041168746;C00033_KI: 2.543298721;C00002_KI: 0.05487762;C00100_KI: 0.054458927,Keq: 2.1981344087781163e-06
116,WP_000078239.1,6.2.1.1,Escherichia coli,R117,Acetate-coa ligase,R01354,MRL,C00002; C00163,C00013; C05983,Km_C00013: 0.13318713; Km_C05983: 0.041168746; Km_C00002: 0.05487762; Km_C00163: 1.640108466,Kcat_F: 3.4321394945; Kcat_R: 2.3647774815,C00163;C00013;C00100;C05993;C00020;C00024;C05983;C00010;C00002;C00033,C05993_KI: 0.045171168;C00010_KI: 0.077155121;C00020_KI: 0.053331587;C00013_KI: 0.13318713;C00163_KI: 1.640108466;C00024_KI: 0.055413216;C05983_KI: 0.041168746;C00033_KI: 2.543298721;C00002_KI: 0.05487762;C00100_KI: 0.054458927,Keq: 722389.0115068445
122,WP_001320171.1,5.4.2.2,Escherichia coli,R123,"Phosphoglucomutase (alpha-d-glucose-1,6-bisphosphate-dependent)",R03319,MRL,C01171,C03735,Km_C03735: 0.569383681; Km_C01171: 0.403784841,Kcat_F: 16.40078191; Kcat_R: 13.31428543,C03735;C00620;C01171;C00092;C00668;C00117;C00103,C01171_KI: 0.403784841;C00668_KI: 0.569383681;C00103_KI: 0.403784841;C00092_KI: 0.569383681;C00620_KI: 0.530358553;C00117_KI: 0.554221213;C03735_KI: 0.569383681,Keq: 41.578427223885676
131,WP_000068701.1,2.1.2.10,Escherichia coli,R132,Aminomethyltransferase,R02300,MRL,C03479,C00001; C00445,Km_C00001: 0.944258809; Km_C00445: 0.069055647; Km_C03479: 0.062393375,Kcat_F: 21.60812103; Kcat_R: 10.308430655499999,C00037;C01242;C00003;C00445;C02972;C00101;C00014;C00004;C00011;C00001;C03479;C00143;C00080,C00445_KI: 0.069055647;C00003_KI: 0.126247987;C03479_KI: 0.062393375;C00143_KI: 0.043544259;C00004_KI: 0.051427435;C02972_KI: 0.6555470248181817;C00014_KI: 2.288124084;C00101_KI: 0.062902413;C00011_KI: 1.108707547;C01242_KI: 0.6555470248181817;C00001_KI: 0.944258809;C00080_KI: 0.996665478;C00037_KI: 1.457690239,Keq: 66229045.698803164
135,WP_000055746.1,6.4.1.2,Escherichia coli,R136,Acetyl-coa carboxylase,R04386,MRL,C00024; C04419,C00083; C06250,Km_C00083: 0.1; Km_C06250: 0.0618698385; Km_C00024: 0.023739677; Km_C04419: 0.0618698385,Kcat_F: 0.501296359; Kcat_R: 0.167004759,C00008;C04419;C00024;C00011;C00083;C00002;C00009;C06250,C06250_KI: 0.11450010083333334;C00083_KI: 0.017973857;C00002_KI: 0.031438239;C00024_KI: 0.023739677;C00009_KI: 0.312815398;C00011_KI: 0.259498209;C04419_KI: 0.11450010083333334;C00008_KI: 0.041535225,Keq: 1
136,WP_000301720.1,1.1.1.49,Escherichia coli,R137,Glucose-6-phosphate dehydrogenase (nadp+),R00835,MRL,C00006; C00092,C00005; C00080; C01236,Km_C00005: 0.008727342; Km_C00080: 1.316865087; Km_C01236: 0.131362155; Km_C00006: 11600.005874999999; Km_C00092: 0.1,Kcat_F: 93.754836675; Kcat_R: 13.76294708,C00006;C01236;C01172;C00092;C00005;C00080,C01172_KI: 0.200977385;C00006_KI: 0.016866822;C00080_KI: 1.316865087;C01236_KI: 0.131362155;C00092_KI: 0.200977385;C00005_KI: 0.008727342,Keq: 15.696780828918287
158,WP_000591795.1,2.7.1.11,Escherichia coli,R159,6-phosphofructokinase,R04779,MRL,C00002; C05345,C00008; C05378,Km_C00008: 0.068868771; Km_C05378: 0.123040177; Km_C00002: 0.073803619; Km_C05345: 0.027499999999999997,Kcat_F: 72.24687560000001; Kcat_R: 68.69468206549999,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 4895.5330073630685
159,WP_000591795.1,2.7.1.11,Escherichia coli,R160,6-phosphofructokinase,R00767,MRL,C00063; C00085,C00112; C00354,Km_C00112: 0.0586504; Km_C00354: 0.123040177; Km_C00063: 11.0; Km_C00085: 0.206363901,Kcat_F: 113.35434365; Kcat_R: 83.0863661655,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 1467.3414286946108
160,WP_000591795.1,2.7.1.11,Escherichia coli,R161,6-phosphofructokinase,R00769,MRL,C00075; C00085,C00015; C00354,Km_C00015: 0.147311985; Km_C00354: 0.123040177; Km_C00075: 5.1; Km_C00085: 0.206363901,Kcat_F: 92.367321505; Kcat_R: 56.9284049655,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 1116.8736512277853
161,WP_000591795.1,2.7.1.11,Escherichia coli,R162,6-phosphofructokinase,R00770,MRL,C00081; C00085,C00104; C00354,Km_C00104: 0.077306546; Km_C00354: 0.123040177; Km_C00081: 2.2; Km_C00085: 0.206363901,Kcat_F: 90.43650879500001; Kcat_R: 55.868415515500004,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 2241.4745010129336
162,WP_000591795.1,2.7.1.11,Escherichia coli,R163,6-phosphofructokinase,R01843,MRL,C00002; C05382,C00008; C00447,Km_C00008: 0.068868771; Km_C00447: 0.107532084; Km_C00002: 0.073803619; Km_C05382: 2.5,Kcat_F: 59.2198756; Kcat_R: 113.13586243499999,C00988;C00044;C00447;C00075;C05345;C05382;C13199;C00354;C00158;C05378;C00631;C00009;C00197;C00085;C00104;C00008;C01097;C00015;C00063;C00074;C00236;C00112;C03785;C00002;C00081,C00002_KI: 0.073803619;C00081_KI: 0.083453357;C00631_KI: 0.216910928;C01097_KI: 0.206363901;C00015_KI: 0.147311985;C03785_KI: 0.123040177;C05345_KI: 0.206363901;C00158_KI: 0.516914785;C00197_KI: 0.272030681;C00008_KI: 0.068868771;C00112_KI: 0.0586504;C00063_KI: 0.092022367;C00447_KI: 0.107532084;C00354_KI: 0.123040177;C00074_KI: 0.149704486;C13199_KI: 0.18061299658333332;C00236_KI: 0.088793822;C00988_KI: 0.215981454;C00009_KI: 0.789816558;C00075_KI: 0.17266877;C05378_KI: 0.123040177;C05382_KI: 0.134634152;C00104_KI: 0.077306546;C00085_KI: 0.206363901;C00044_KI: 0.080094919,Keq: 803.5584141381472
182,WP_001012606.1,2.2.1.6,Escherichia coli,R183,Acetolactate synthase,R00006,MRL,C00011; C00900,C00022,Km_C00022: 11.079999999999998; Km_C00011: 5.445468903; Km_C00900: 0.855534971,Kcat_F: 4.7650851455000005; Kcat_R: 38.599999999999994,C00022;C06010;C00109;C00011;C05125;C06006;C00900;C00068,C00022_KI: 5.789785385;C00011_KI: 5.445468903;C05125_KI: 0.086339578;C00068_KI: 0.119095407;C06010_KI: 0.855534971;C00109_KI: 4.494002342;C06006_KI: 1.518301487;C00900_KI: 0.855534971,Keq: 1.8368421483937752e-05
184,WP_001012606.1,2.2.1.6,Escherichia coli,R185,Acetolactate synthase,R00014,MRL,C00022; C00068,C00011; C05125,Km_C00011: 5.445468903; Km_C05125: 0.086339578; Km_C00022: 11.079999999999998; Km_C00068: 0.119095407,Kcat_F: 21.365814181999998; Kcat_R: 5.0046148175,C00022;C06010;C00109;C00011;C05125;C06006;C00900;C00068,C00022_KI: 5.789785385;C00011_KI: 5.445468903;C05125_KI: 0.086339578;C00068_KI: 0.119095407;C06010_KI: 0.855534971;C00109_KI: 4.494002342;C06006_KI: 1.518301487;C00900_KI: 0.855534971,Keq: 42428.37004698428
185,WP_001012606.1,2.2.1.6,Escherichia coli,R186,Acetolactate synthase,R03050,MRL,C00068; C00900,C00022; C05125,Km_C00022: 11.079999999999998; Km_C05125: 0.086339578; Km_C00068: 0.119095407; Km_C00900: 0.855534971,Kcat_F: 3.561344342; Kcat_R: 21.035059831999998,C00022;C06010;C00109;C00011;C05125;C06006;C00900;C00068,C00022_KI: 5.789785385;C00011_KI: 5.445468903;C05125_KI: 0.086339578;C00068_KI: 0.119095407;C06010_KI: 0.855534971;C00109_KI: 4.494002342;C06006_KI: 1.518301487;C00900_KI: 0.855534971,Keq: 0.7793421838995228
186,WP_001012606.1,2.2.1.6,Escherichia coli,R187,Acetolactate synthase,R04672,MRL,C00068; C06010,C00022; C05125,Km_C00022: 11.079999999999998; Km_C05125: 0.086339578; Km_C00068: 0.119095407; Km_C06010: 0.855534971,Kcat_F: 3.561344342; Kcat_R: 21.035059831999998,C00022;C06010;C00109;C00011;C05125;C06006;C00900;C00068,C00022_KI: 5.789785385;C00011_KI: 5.445468903;C05125_KI: 0.086339578;C00068_KI: 0.119095407;C06010_KI: 0.855534971;C00109_KI: 4.494002342;C06006_KI: 1.518301487;C00900_KI: 0.855534971,Keq: 0.7793421838995049
187,WP_001012606.1,2.2.1.6,Escherichia coli,R188,Acetolactate synthase,R04673,MRL,C00109; C05125,C00068; C06006,Km_C00068: 0.119095407; Km_C06006: 1.518301487; Km_C00109: 150.0055; Km_C05125: 0.086339578,Kcat_F: 3.3850598319999996; Kcat_R: 3.4657852195,C00022;C06010;C00109;C00011;C05125;C06006;C00900;C00068,C00022_KI: 5.789785385;C00011_KI: 5.445468903;C05125_KI: 0.086339578;C00068_KI: 0.119095407;C06010_KI: 0.855534971;C00109_KI: 4.494002342;C06006_KI: 1.518301487;C00900_KI: 0.855534971,Keq: 0.03799254995330365
194,WP_000624298.1,4.3.1.17,Escherichia coli,R195,L-serine ammonia-lyase,R06131,MRL,C05167,C00014; C00161,Km_C00014: 2.321814537; Km_C00161: 2.321814537; Km_C05167: 2.321814537,Kcat_F: 36.94316617111479; Kcat_R: 17.86179164,C00022;C05167;C00161;C00014;C00065;C02218;C00001,C05167_KI: 1.3902921916;C00001_KI: 1.243283153;C00014_KI: 2.321814537;C00065_KI: 0.995956302;C00161_KI: 1.3902921916;C00022_KI: 0.786924958;C02218_KI: 1.603482008,Keq: 1
195,WP_000624298.1,4.3.1.17,Escherichia coli,R196,L-serine ammonia-lyase,R08698,MRL,C00001; C02218,C00014; C00022,Km_C00014: 2.321814537; Km_C00022: 0.786924958; Km_C00001: 1.243283153; Km_C02218: 1.603482008,Kcat_F: 1.10709272; Kcat_R: 16.004088045,C00022;C05167;C00161;C00014;C00065;C02218;C00001,C05167_KI: 1.3902921916;C00001_KI: 1.243283153;C00014_KI: 2.321814537;C00065_KI: 0.995956302;C00161_KI: 1.3902921916;C00022_KI: 0.786924958;C02218_KI: 1.603482008,Keq: 16435.19273313509
203,WP_001338652.1,4.3.1.19,Escherichia coli,R204,Threonine ammonia-lyase,R06131,MRL,C05167,C00014; C00161,Km_C00014: 10.38471889; Km_C00161: 10.38471889; Km_C05167: 10.38471889,Kcat_F: 36.94316617111479; Kcat_R: 7.544567375,C00022;C05167;C00109;C00161;C00014;C00065;C00188,C00109_KI: 2.064281225;C00014_KI: 10.38471889;C00188_KI: 1.958139181;C05167_KI: 4.4057497013999996;C00161_KI: 4.4057497013999996;C00022_KI: 2.540874958;C00065_KI: 5.080734253,Keq: 1
208,WP_000789986.1,5.3.1.9,Escherichia coli,R209,Glucose-6-phosphate isomerase,R02740,MRL,C00668,C05345,Km_C05345: 0.147; Km_C00668: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 0.832305128,C01172;C00092;C00668;C05345;C00085,C00092_KI: 0.678788722;C00668_KI: 0.678788722;C01172_KI: 0.678788722;C00085_KI: 0.676445067;C05345_KI: 0.676445067,Keq: 1.591115185218138
209,WP_000789986.1,5.3.1.9,Escherichia coli,R210,Glucose-6-phosphate isomerase,R03321,MRL,C01172,C05345,Km_C05345: 0.147; Km_C01172: 0.678788722,Kcat_F: 1.292204517; Kcat_R: 0.832305128,C01172;C00092;C00668;C05345;C00085,C00092_KI: 0.678788722;C00668_KI: 0.678788722;C01172_KI: 0.678788722;C00085_KI: 0.676445067;C05345_KI: 0.676445067,Keq: 0.9369542472283082
212,WP_000853753.1,3.1.3.11,Escherichia coli,R213,Fructose-bisphosphatase,R04780,MRL,C00001; C05378,C00009; C05345,Km_C00009: 0.320538223; Km_C05345: 0.137154579; Km_C00001: 0.495092779; Km_C05378: 0.002,Kcat_F: 1.4600096685; Kcat_R: 0.289105657,C00097;C00665;C01172;C00001;C02086;C00447;C05345;C05382;C20679;C00354;C05378;C00009;C06232;C00085;C00008;C00020;C01478;C11215;C00074;C00002;C00736,C06232_KI: 0.131328985;C00074_KI: 0.019488197;C00447_KI: 0.011786909;C00001_KI: 0.495092779;C00085_KI: 0.137154579;C01172_KI: 0.141747043;C00665_KI: 0.028419536;C05378_KI: 0.017616788;C00097_KI: 0.104909003;C00354_KI: 0.017616788;C02086_KI: 0.154976174;C00002_KI: 0.016829839;C20679_KI: 0.130976006;C05345_KI: 0.137154579;C01478_KI: 0.28029269;C11215_KI: 0.11515654565;C05382_KI: 0.01538996;C00020_KI: 0.015665423;C00736_KI: 0.104909003;C00009_KI: 0.320538223;C00008_KI: 0.021238409,Keq: 32.06263824020573
217,WP_001058802.1,1.1.1.2,Escherichia coli,R218,Alcohol dehydrogenase (nadp+),R07328,MRL,C00006; C00069,C00005; C00071; C00080,Km_C00005: 0.071021505; Km_C00071: 1.3257581866666668; Km_C00080: 3.693367481; Km_C00006: 0.212885574; Km_C00069: 1.3257581866666668,Kcat_F: 5.299930475; Kcat_R: 6.078221034,C00116;C00071;C00577;C00006;C06102;C06103;C00084;C00469;C00005;C00226;C00069;C00080,C06102_KI: 0.601238847;C00084_KI: 3.321425915;C00071_KI: 2.4196380335555556;C00577_KI: 2.040300369;C00069_KI: 2.4196380335555556;C00005_KI: 0.071021505;C00080_KI: 3.693367481;C06103_KI: 0.695547163;C00116_KI: 5.371451378;C00469_KI: 5.76950407;C00006_KI: 0.212885574;C00226_KI: 2.4196380335555556,Keq: 1
218,WP_001058802.1,1.1.1.2,Escherichia coli,R219,Alcohol dehydrogenase (nadp+),R00625,MRL,C00006; C00226,C00005; C00071; C00080,Km_C00005: 0.071021505; Km_C00071: 1.3257581866666668; Km_C00080: 3.693367481; Km_C00006: 0.212885574; Km_C00226: 1.3257581866666668,Kcat_F: 5.299930475; Kcat_R: 6.078221034,C00116;C00071;C00577;C00006;C06102;C06103;C00084;C00469;C00005;C00226;C00069;C00080,C06102_KI: 0.601238847;C00084_KI: 3.321425915;C00071_KI: 2.4196380335555556;C00577_KI: 2.040300369;C00069_KI: 2.4196380335555556;C00005_KI: 0.071021505;C00080_KI: 3.693367481;C06103_KI: 0.695547163;C00116_KI: 5.371451378;C00469_KI: 5.76950407;C00006_KI: 0.212885574;C00226_KI: 2.4196380335555556,Keq: 1
220,WP_001058802.1,1.1.1.2,Escherichia coli,R221,Alcohol dehydrogenase (nadp+),R01041,MRL,C00006; C00116,C00005; C00080; C00577,Km_C00005: 0.071021505; Km_C00080: 3.693367481; Km_C00577: 2.040300369; Km_C00006: 0.212885574; Km_C00116: 5.371451378,Kcat_F: 4.97376151; Kcat_R: 6.9810084435,C00116;C00071;C00577;C00006;C06102;C06103;C00084;C00469;C00005;C00226;C00069;C00080,C06102_KI: 0.601238847;C00084_KI: 3.321425915;C00071_KI: 2.4196380335555556;C00577_KI: 2.040300369;C00069_KI: 2.4196380335555556;C00005_KI: 0.071021505;C00080_KI: 3.693367481;C06103_KI: 0.695547163;C00116_KI: 5.371451378;C00469_KI: 5.76950407;C00006_KI: 0.212885574;C00226_KI: 2.4196380335555556,Keq: 4.716004608063299e-07
221,WP_001058802.1,1.1.1.2,Escherichia coli,R222,Alcohol dehydrogenase (nadp+),R05231,MRL,C00006; C06103,C00005; C00080; C06102,Km_C00005: 0.071021505; Km_C00080: 3.693367481; Km_C06102: 0.601238847; Km_C00006: 0.212885574; Km_C06103: 0.695547163,Kcat_F: 3.5228650745; Kcat_R: 5.0400351905,C00116;C00071;C00577;C00006;C06102;C06103;C00084;C00469;C00005;C00226;C00069;C00080,C06102_KI: 0.601238847;C00084_KI: 3.321425915;C00071_KI: 2.4196380335555556;C00577_KI: 2.040300369;C00069_KI: 2.4196380335555556;C00005_KI: 0.071021505;C00080_KI: 3.693367481;C06103_KI: 0.695547163;C00116_KI: 5.371451378;C00469_KI: 5.76950407;C00006_KI: 0.212885574;C00226_KI: 2.4196380335555556,Keq: 0.0008143234289870622
223,WP_001151604.1,1.1.1.95,Escherichia coli,R224,Phosphoglycerate dehydrogenase,R08198,MRL,C00003; C02630,C00004; C00026; C00080,Km_C00004: 0.026533185; Km_C00026: 2.575; Km_C00080: 0.684385955; Km_C00003: 0.066957682; Km_C02630: 0.227477387,Kcat_F: 0.2625871395; Kcat_R: 1.5896916455,C00197;C02630;C00003;C00004;C00026;C03232;C00080,C03232_KI: 0.046131901;C00003_KI: 0.066957682;C00004_KI: 0.026533185;C02630_KI: 0.227477387;C00197_KI: 0.144952103;C00080_KI: 0.684385955;C00026_KI: 0.125998065,Keq: 0.0006423110165387086
224,WP_001109486.1,3.1.2.6,Escherichia coli,R225,Hydroxyacylglutathione hydrolase,R04090,MRL,C00001; C03899,C00051; C02929,Km_C00051: 0.190951452; Km_C02929: 0.80240839; Km_C00001: 1.413865328; Km_C03899: 0.80240839,Kcat_F: 3.918132231; Kcat_R: 45.16141593,C03451;C00001;C02929;C03899;C00051;C00256,C00051_KI: 0.190951452;C00001_KI: 1.413865328;C03899_KI: 0.6177698524999999;C02929_KI: 0.6177698524999999;C03451_KI: 0.163828984;C00256_KI: 0.702433646,Keq: 1
229,WP_000818411.1,2.5.1.16,Escherichia coli,R230,Spermidine synthase,R08359,MRL,C01137; C01672,C00170; C16565,Km_C00170: 0.007068458; Km_C16565: 0.022648501666666668; Km_C01137: 0.0022; Km_C01672: 0.058677047,Kcat_F: 1.4140623940000001; Kcat_R: 1.119545855,C00750;C00170;C01672;C00315;C16565;C00134;C01137,C00170_KI: 0.007068458;C01672_KI: 0.058677047;C00750_KI: 0.038445462;C00134_KI: 0.053713869;C00315_KI: 0.046560574;C16565_KI: 0.035791408999999996;C01137_KI: 0.010283044,Keq: 1
