Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species
C00243,,Metabolite,0.001,,,,
C00033,,Metabolite,0.001,,,,
C02702,,Metabolite,0.001,,,,
C04268,,Metabolite,0.001,,,,
C01637,,Metabolite,0.001,,,,
C05345,,Metabolite,3.8,,,,
C01651,,Metabolite,0.001,,,,
C01642,,Metabolite,0.001,,,,
C00362,,Metabolite,0.001,,,,
C00390,,Metabolite,0.001,,,,
C00386,,Metabolite,0.001,,,,
C00117,,Metabolite,0.5,,,,
C05198,,Metabolite,0.001,,,,
C00672,,Metabolite,0.001,,,,
C00120,,Metabolite,0.001,,,,
C04896,,Metabolite,0.001,,,,
C00059,,Metabolite,0.001,,,,
C05712,,Metabolite,0.001,,,,
C05400,,Metabolite,0.001,,,,
C00111,,Metabolite,0.37,,,,
C01931,,Metabolite,0.001,,,,
C00886,,Metabolite,0.001,,,,
C00183,,Metabolite,0.001,,,,
C02047,,Metabolite,0.001,,,,
C00116,,Metabolite,0.001,,,,
C04478,,Metabolite,0.001,,,,
C01368,,Metabolite,0.001,,,,
C05729,,Metabolite,0.001,,,,
C00189,,Metabolite,0.001,,,,
C01235,,Metabolite,0.001,,,,
C01240,,Metabolite,0.001,,,,
C01344,,Metabolite,0.001,,,,
C00760,,Metabolite,0.001,,,,
C00201,,Metabolite,0.001,,,,
C00286,,Metabolite,0.001,,,,
C00026,,Metabolite,0.44,,,,
C15547,,Metabolite,0.001,,,,
C16633,,Metabolite,0.001,,,,
C01290,,Metabolite,0.001,,,,
C01650,,Metabolite,0.001,,,,
C00075,,Metabolite,0.001,,,,
C03802,,Metabolite,0.001,,,,
C03406,,Metabolite,0.001,,,,
C14861,,Metabolite,0.001,,,,
C02686,,Metabolite,0.001,,,,
C00288,,Metabolite,0.001,,,,
C04882,,Metabolite,0.001,,,,
C00112,,Metabolite,0.001,,,,
C06481,,Metabolite,0.001,,,,
C00039,,Metabolite,0.001,,,,
C14848,,Metabolite,0.001,,,,
C00080,,Metabolite,0.0001,,,,
C03319,,Metabolite,0.001,,,,
C01647,,Metabolite,0.001,,,,
C04376,,Metabolite,0.001,,,,
C00094,,Metabolite,0.001,,,,
C00787,,Metabolite,0.001,,,,
C04751,,Metabolite,0.001,,,,
C15585,,Metabolite,0.001,,,,
C02739,,Metabolite,0.001,,,,
C14851,,Metabolite,0.001,,,,
C05726,,Metabolite,0.001,,,,
C01097,,Metabolite,0.001,,,,
C14855,,Metabolite,0.001,,,,
C14840,,Metabolite,0.001,,,,
C00199,,Metabolite,0.5,,,,
C02354,,Metabolite,0.001,,,,
C00250,,Metabolite,0.001,,,,
C01640,,Metabolite,0.001,,,,
C00670,,Metabolite,0.001,,,,
C05922,,Metabolite,0.001,,,,
C00139,,Metabolite,0.001,,,,
C14857,,Metabolite,0.001,,,,
C02520,,Metabolite,0.001,,,,
C14787,,Metabolite,0.001,,,,
C00234,,Metabolite,0.001,,,,
C00020,,Metabolite,0.001,,,,
C00627,,Metabolite,0.001,,,,
C01212,,Metabolite,0.001,,,,
C03722,,Metabolite,0.001,,,,
C01653,,Metabolite,0.001,,,,
C00455,,Metabolite,0.001,,,,
C00692,,Metabolite,0.001,,,,
C00003,,Metabolite,0.001,,,,
C00320,,Metabolite,0.001,,,,
C00121,,Metabolite,0.001,,,,
C00067,,Metabolite,0.001,,,,
C00007,,Metabolite,0.001,,,,
C00134,,Metabolite,0.001,,,,
C05813,,Metabolite,0.001,,,,
C06156,,Metabolite,0.001,,,,
C01419,,Metabolite,0.001,,,,
C00135,,Metabolite,0.001,,,,
C00082,,Metabolite,0.001,,,,
C00099,,Metabolite,0.001,,,,
C04631,,Metabolite,0.001,,,,
C00559,,Metabolite,0.001,,,,
C14806,,Metabolite,0.001,,,,
C00704,,Metabolite,0.001,,,,
C00152,,Metabolite,0.001,,,,
C00024,,Metabolite,0.61,,,,
C00934,,Metabolite,0.001,,,,
C00123,,Metabolite,0.001,,,,
C00046,,Metabolite,0.001,,,,
C00004,,Metabolite,0.083,,,,
C01613,,Metabolite,0.001,,,,
C01346,,Metabolite,0.001,,,,
C01051,,Metabolite,0.001,,,,
C03120,,Metabolite,0.001,,,,
C00267,,Metabolite,0.001,,,,
C03023,,Metabolite,0.001,,,,
C00148,,Metabolite,0.001,,,,
C00053,,Metabolite,0.001,,,,
C05526,,Metabolite,0.001,,,,
C14803,,Metabolite,0.001,,,,
C05822,,Metabolite,0.001,,,,
C01345,,Metabolite,0.001,,,,
C11907,,Metabolite,0.001,,,,
C02353,,Metabolite,0.001,,,,
C04823,,Metabolite,0.001,,,,
C01646,,Metabolite,0.001,,,,
C01755,,Metabolite,0.001,,,,
C18902,,Metabolite,0.001,,,,
C06398,,Metabolite,0.001,,,,
C05684,,Metabolite,0.001,,,,
C03794,,Metabolite,0.001,,,,
C01157,,Metabolite,0.001,,,,
C00069,,Metabolite,0.001,,,,
C05768,,Metabolite,0.001,,,,
C01103,,Metabolite,0.001,,,,
C03419,,Metabolite,0.001,,,,
C15532,,Metabolite,0.001,,,,
C00615,,Metabolite,0.001,,,,
C00680,,Metabolite,0.001,,,,
C07648,,Metabolite,0.001,,,,
C02163,,Metabolite,0.001,,,,
C00364,,Metabolite,0.001,,,,
C01636,,Metabolite,0.001,,,,
C01019,,Metabolite,0.001,,,,
C00357,,Metabolite,0.001,,,,
C00133,,Metabolite,0.001,,,,
C11088,,Metabolite,0.001,,,,
C00055,,Metabolite,0.001,,,,
C14786,,Metabolite,0.001,,,,
C01112,,Metabolite,0.001,,,,
C00620,,Metabolite,0.001,,,,
C00365,,Metabolite,0.001,,,,
C00860,,Metabolite,0.001,,,,
C00081,,Metabolite,0.001,,,,
C06193,,Metabolite,0.001,,,,
C02554,,Metabolite,0.001,,,,
C00131,,Metabolite,0.001,,,,
C05401,,Metabolite,0.001,,,,
C00407,,Metabolite,0.001,,,,
C04332,,Metabolite,0.001,,,,
C00688,,Metabolite,0.001,,,,
C01649,,Metabolite,0.001,,,,
C11038,,Metabolite,0.001,,,,
C00074,,Metabolite,0.18,,,,
C00035,,Metabolite,0.001,,,,
C14791,,Metabolite,0.001,,,,
C14863,,Metabolite,0.001,,,,
C00330,,Metabolite,0.001,,,,
C00337,,Metabolite,0.001,,,,
C00124,,Metabolite,0.001,,,,
C14865,,Metabolite,0.001,,,,
C06148,,Metabolite,0.001,,,,
C00343,,Metabolite,0.001,,,,
C02090,,Metabolite,0.001,,,,
C00144,,Metabolite,0.001,,,,
C11453,,Metabolite,0.001,,,,
C00066,,Metabolite,0.001,,,,
C00086,,Metabolite,0.001,,,,
C00314,,Metabolite,0.001,,,,
C00105,,Metabolite,0.001,,,,
C00179,,Metabolite,0.001,,,,
C04419,,Metabolite,0.001,,,,
C04121,,Metabolite,0.001,,,,
C00006,,Metabolite,0.0021,,,,
C00054,,Metabolite,0.001,,,,
C00104,,Metabolite,0.001,,,,
C16636,,Metabolite,0.001,,,,
C06790,,Metabolite,0.001,,,,
C00360,,Metabolite,0.001,,,,
C11439,,Metabolite,0.001,,,,
C14819,,Metabolite,0.001,,,,
C02380,,Metabolite,0.001,,,,
C01327,,Metabolite,0.001,,,,
C00689,,Metabolite,0.001,,,,
C00103,,Metabolite,0.001,,,,
C00214,,Metabolite,0.001,,,,
C05923,,Metabolite,0.001,,,,
C00624,,Metabolite,0.001,,,,
C05649,,Metabolite,0.001,,,,
C19586,,Metabolite,0.001,,,,
C00019,,Metabolite,0.001,,,,
C00270,,Metabolite,0.001,,,,
C00460,,Metabolite,0.001,,,,
C00147,,Metabolite,0.001,,,,
C00073,,Metabolite,0.001,,,,
C16153,,Metabolite,0.001,,,,
C01977,,Metabolite,0.001,,,,
C11477,,Metabolite,0.001,,,,
C06194,,Metabolite,0.001,,,,
C14858,,Metabolite,0.001,,,,
C07293,,Metabolite,0.001,,,,
C01024,,Metabolite,0.001,,,,
C00093,,Metabolite,0.001,,,,
C00167,,Metabolite,0.001,,,,
C14805,,Metabolite,0.001,,,,
C00526,,Metabolite,0.001,,,,
C00492,,Metabolite,0.001,,,,
C00475,,Metabolite,0.001,,,,
C05713,,Metabolite,0.001,,,,
C00010,,Metabolite,1.4,,,,
C00437,,Metabolite,0.001,,,,
C14874,,Metabolite,0.001,,,,
C06397,,Metabolite,0.001,,,,
C06126,,Metabolite,0.001,,,,
C15556,,Metabolite,0.001,,,,
C05382,,Metabolite,0,,,,
C00127,,Metabolite,0.001,,,,
C04153,,Metabolite,0.001,,,,
C16738,,Metabolite,0.001,,,,
C06312,,Metabolite,0.001,,,,
C05928,,Metabolite,0.001,,,,
C16634,,Metabolite,0.001,,,,
C14793,,Metabolite,0.001,,,,
C00352,,Metabolite,0.001,,,,
C00177,,Metabolite,0.001,,,,
C00092,,Metabolite,5,,,,
C02988,,Metabolite,0.001,,,,
C00009,,Metabolite,0.001,,,,
C04916,,Metabolite,0.001,,,,
C14859,,Metabolite,0.001,,,,
C03723,,Metabolite,0.001,,,,
C04640,,Metabolite,0.001,,,,
C11440,,Metabolite,0.001,,,,
C00224,,Metabolite,0.001,,,,
C05403,,Metabolite,0.001,,,,
C07649,,Metabolite,0.001,,,,
C00534,,Metabolite,0.001,,,,
C05336,,Metabolite,0.001,,,,
C14868,,Metabolite,0.001,,,,
C00546,,Metabolite,0.001,,,,
C00062,,Metabolite,0.001,,,,
C00272,,Metabolite,0.001,,,,
C05766,,Metabolite,0.001,,,,
C05703,,Metabolite,0.001,,,,
C00077,,Metabolite,0.001,,,,
C00002,,Metabolite,0.001,,,,
C03150,,Metabolite,0.001,,,,
C14818,,Metabolite,0.001,,,,
C04895,,Metabolite,0.001,,,,
C03444,,Metabolite,0.001,,,,
C00037,,Metabolite,0.001,,,,
C00387,,Metabolite,0.001,,,,
C00206,,Metabolite,0.001,,,,
C00217,,Metabolite,0.001,,,,
C00043,,Metabolite,0.001,,,,
C07645,,Metabolite,0.001,,,,
C00430,,Metabolite,0.001,,,,
C01367,,Metabolite,0.001,,,,
C05796,,Metabolite,0.001,,,,
C01528,,Metabolite,0.001,,,,
C14856,,Metabolite,0.001,,,,
C14871,,Metabolite,0.001,,,,
C00299,,Metabolite,0.001,,,,
C00881,,Metabolite,0.001,,,,
C06037,,Metabolite,0.001,,,,
C16618,,Metabolite,0.001,,,,
C03785,,Metabolite,0.001,,,,
C03127,,Metabolite,0.001,,,,
C01177,,Metabolite,0.001,,,,
