Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters
WP_001117011.1,-,Enzyme,0.5,,,
WP_000397372.1,2.10.1.1,Enzyme,0.0,,,
WP_000769322.1,-,Enzyme,1.5,,,
WP_000089731.1,-,Enzyme,1.0,,,
Pyridoxine 5'-phosphate synthase,2.6.99.2,Enzyme,1.0,,,
Threonine synthase,4.2.3.1,Enzyme,0.5,,,
Orotate phosphoribosyltransferase,2.4.2.10,Enzyme,0.5,,,
Glucose-1-phosphate thymidylyltransferase,2.7.7.24,Enzyme,2.0,,,
WP_001239440.1,7.1.1.-,Enzyme,0.0,,,
6-phospho-beta-glucosidase,3.2.1.86,Enzyme,1.0,,,
WP_001161664.1,-,Enzyme,1.0,,,
WP_001176599.1,-,Enzyme,1.0,,,
Histidinol dehydrogenase,1.1.1.23,Enzyme,0.5,,,
Udp-n-acetylmuramoyl-l-alanine-d-glutamate ligase,6.3.2.9,Enzyme,1.5,,,
Dihydrofolate synthase,6.3.2.12,Enzyme,0.5,,,
WP_001166395.1,1.17.7.4,Enzyme,1.5,,,
WP_001232240.1,-,Enzyme,1.5,,,
WP_001219792.1,6.3.2.45,Enzyme,1.0,,,
Pyrroline-5-carboxylate reductase,1.5.1.2,Enzyme,1.0,,,
WP_001203392.1,3.1.3.-,Enzyme,0.0,,,
WP_000014594.1,-,Enzyme,1.0,,,
"Dtdp-4-dehydrorhamnose 3,5-epimerase",5.1.3.13,Enzyme,1.0,,,
Deoxyribose-phosphate aldolase,4.1.2.4,Enzyme,0.5,,,
WP_001295347.1,-,Enzyme,1.0,,,
WP_001265481.1,-,Enzyme,1.0,,,
WP_000323571.1,-,Enzyme,0.0,,,
WP_000712658.1,-,Enzyme,1.5,,,
L-methionine (r)-s-oxide reductase,1.8.4.14,Enzyme,1.0,,,
WP_000072420.1,1.6.5.10,Enzyme,0.5,,,
WP_000476487.1,-,Enzyme,2.0,,,
WP_000532923.1,-,Enzyme,0.5,,,
N-acetyl-gamma-glutamyl-phosphate reductase,1.2.1.38,Enzyme,2.0,,,
WP_001056273.1,-,Enzyme,3.0,,,
Udp-n-acetylmuramoyl-tripeptide-d-alanyl-d-alanine ligase,6.3.2.10,Enzyme,0.5,,,
WP_001031530.1,-,Enzyme,2.0,,,
WP_000339283.1,-,Enzyme,1.5,,,
WP_001107467.1,3.4.24.-,Enzyme,0.5,,,
WP_001251965.1,7.1.2.2,Enzyme,1.0,,,
WP_012767721.1,3.6.1.-,Enzyme,0.5,,,
Phosphoenolpyruvate-protein phosphotransferase,2.7.3.9,Enzyme,1.0,,,
Aromatic-amino-acid transaminase,2.6.1.57,Enzyme,2.0,,,
WP_000715216.1,5.3.4.1,Enzyme,1.0,,,
WP_001295748.1,-,Enzyme,1.0,,,
WP_001295905.1,-,Enzyme,1.0,,,
WP_000384413.1,-,Enzyme,1.5,,,
WP_000965952.1,-,Enzyme,1.0,,,
Lipoyl synthase,2.8.1.8,Enzyme,2.5,,,
WP_000190982.1,-,Enzyme,1.0,,,
N-acetylmuramic acid 6-phosphate etherase,4.2.1.126,Enzyme,1.0,,,
Dtmp kinase,2.7.4.9,Enzyme,1.5,,,
Aspartate carbamoyltransferase,2.1.3.2,Enzyme,1.0,,,
WP_000568432.1,3.4.19.5,Enzyme,2.0,,,
Sugar-phosphatase,3.1.3.23,Enzyme,1.5,,,
WP_000854972.1,-,Enzyme,0.0,,,
Uridine nucleosidase,3.2.2.3,Enzyme,1.0,,,
WP_001174737.1,-,Enzyme,0.5,,,
Aspartate-semialdehyde dehydrogenase,1.2.1.11,Enzyme,2.0,,,
WP_000827411.1,3.1.26.12,Enzyme,0.5,,,
"3,4-dihydroxy-2-butanone-4-phosphate synthase",4.1.99.12,Enzyme,1.5,,,
WP_000312488.1,3.4.24.-,Enzyme,0.5,,,
WP_001295553.1,-,Enzyme,0.0,,,
WP_000940019.1,2.1.1.200,Enzyme,1.0,,,
WP_001297484.1,-,Enzyme,0.0,,,
Gtp cyclohydrolase i,3.5.4.16,Enzyme,0.0,,,
WP_001297679.1,-,Enzyme,1.0,,,
S-(hydroxymethyl)glutathione dehydrogenase,1.1.1.284,Enzyme,1.0,,,
WP_001063206.1,3.1.21.3,Enzyme,1.5,,,
Aspartate carbamoyltransferase,2.1.3.2,Enzyme,0.0,,,
WP_000849209.1,-,Enzyme,1.5,,,
Aspartate 1-decarboxylase,4.1.1.11,Enzyme,1.0,,,
D-lactate dehydrogenase,1.1.1.28,Enzyme,1.0,,,
WP_001247089.1,-,Enzyme,0.0,,,
WP_001053178.1,-,Enzyme,1.0,,,
Nadh:quinone reductase (non-electrogenic),1.6.5.9,Enzyme,0.5,,,
Agmatinase,3.5.3.11,Enzyme,2.0,,,
WP_000283664.1,3.1.3.-,Enzyme,1.5,,,
WP_001295344.1,-,Enzyme,1.0,,,
WP_001276008.1,-,Enzyme,1.0,,,
Dctp deaminase,3.5.4.13,Enzyme,0.5,,,
WP_000997403.1,2.1.1.-,Enzyme,0.5,,,
Utp-glucose-1-phosphate uridylyltransferase,2.7.7.9,Enzyme,1.0,,,
Ribonucleoside-triphosphate reductase (thioredoxin),1.17.4.2,Enzyme,0.0,,,
WP_000780912.1,-,Enzyme,0.5,,,
Sulfate adenylyltransferase,2.7.7.4,Enzyme,0.5,,,
WP_001158034.1,-,Enzyme,1.0,,,
WP_001124935.1,3.1.11.6,Enzyme,2.0,,,
WP_000809262.1,2.1.1.198,Enzyme,0.0,,,
"3'(2'),5'-bisphosphate nucleotidase",3.1.3.7,Enzyme,1.0,,,
WP_001296261.1,-,Enzyme,1.5,,,
L-serine ammonia-lyase,4.3.1.17,Enzyme,0.0,,,
Trna (guanine46-n7)-methyltransferase,2.1.1.33,Enzyme,0.5,,,
WP_000183349.1,-,Enzyme,0.0,,,
3-deoxy-manno-octulosonate cytidylyltransferase,2.7.7.38,Enzyme,1.5,,,
WP_000049367.1,2.8.4.4,Enzyme,1.0,,,
WP_000251727.1,-,Enzyme,0.5,,,
WP_001295266.1,-,Enzyme,1.0,,,
WP_001045520.1,2.1.1.186,Enzyme,1.0,,,
WP_000089698.1,5.4.99.25,Enzyme,1.0,,,
WP_000212680.1,-,Enzyme,1.5,,,
Udp-n-acetylmuramate-l-alanine ligase,6.3.2.8,Enzyme,0.5,,,
WP_001139294.1,2.3.1.191,Enzyme,0.5,,,
D-alanine-d-alanine ligase,6.3.2.4,Enzyme,1.0,,,
Glucose-1-phosphatase,3.1.3.10,Enzyme,1.5,,,
WP_001016666.1,1.3.1.98,Enzyme,0.0,,,
WP_000621336.1,3.1.-.-,Enzyme,1.0,,,
WP_000499751.1,-,Enzyme,1.0,,,
Aminoacyl-trna hydrolase,3.1.1.29,Enzyme,1.0,,,
Chorismate synthase,4.2.3.5,Enzyme,1.0,,,
WP_001266908.1,1.4.99.-,Enzyme,0.0,,,
Histidinol-phosphate transaminase,2.6.1.9,Enzyme,0.0,,,
WP_001295493.1,-,Enzyme,0.0,,,
WP_000068457.1,5.1.99.7,Enzyme,1.0,,,
Dihydroorotase,3.5.2.3,Enzyme,1.5,,,
Peptidylprolyl isomerase,5.2.1.8,Enzyme,0.5,,,
Pyridoxal kinase,2.7.1.35,Enzyme,1.0,,,
3-deoxy-manno-octulosonate-8-phosphatase,3.1.3.45,Enzyme,1.0,,,
Methylglyoxal synthase,4.2.3.3,Enzyme,1.0,,,
5'-nucleotidase,3.1.3.5,Enzyme,0.0,,,
Gluconokinase,2.7.1.12,Enzyme,0.5,,,
WP_000543586.1,1.17.1.8,Enzyme,1.0,,,
3-phosphoshikimate 1-carboxyvinyltransferase,2.5.1.19,Enzyme,1.0,,,
Ferroxidase,1.16.3.1,Enzyme,0.0,,,
WP_001295704.1,2.1.1.298,Enzyme,2.0,,,
WP_000323556.1,-,Enzyme,0.5,,,
WP_001298606.1,-,Enzyme,0.5,,,
WP_000748271.1,-,Enzyme,1.5,,,
WP_001045689.1,-,Enzyme,1.0,,,
WP_000586962.1,-,Enzyme,0.0,,,
WP_000880195.1,4.3.2.10,Enzyme,2.0,,,
WP_000667319.1,-,Enzyme,0.5,,,
Phosphoadenylyl-sulfate reductase (thioredoxin),1.8.4.8,Enzyme,2.5,,,
3-methyl-2-oxobutanoate hydroxymethyltransferase,2.1.2.11,Enzyme,0.5,,,
Glutamate 5-kinase,2.7.2.11,Enzyme,0.5,,,
WP_001293282.1,2.1.1.185,Enzyme,0.5,,,
WP_000437935.1,-,Enzyme,0.5,,,
WP_000350058.1,-,Enzyme,1.5,,,
WP_000116297.1,2.1.1.191,Enzyme,0.5,,,
WP_001295378.1,-,Enzyme,2.5,,,
WP_000940106.1,-,Enzyme,0.5,,,
Nicotinate-nucleotide diphosphorylase (carboxylating),2.4.2.19,Enzyme,1.0,,,
16s rrna (guanine1207-n2)-methyltransferase,2.1.1.172,Enzyme,1.0,,,
WP_001318307.1,-,Enzyme,0.5,,,
3-deoxy-manno-octulosonate cytidylyltransferase,2.7.7.38,Enzyme,0.0,,,
WP_000559764.1,-,Enzyme,0.5,,,
WP_000942344.1,5.4.2.11,Enzyme,0.0,,,
WP_000460360.1,3.6.5.-,Enzyme,1.0,,,
WP_000462905.1,-,Enzyme,1.5,,,
WP_001326641.1,-,Enzyme,0.0,,,
WP_000444361.1,2.4.1.25,Enzyme,0.5,,,
Demethylmenaquinone methyltransferase,2.1.1.163,Enzyme,1.0,,,
WP_000517428.1,1.-.-.-,Enzyme,0.5,,,
All-trans-octaprenyl-diphosphate synthase,2.5.1.90,Enzyme,0.5,,,
Biotin synthase,2.8.1.6,Enzyme,0.0,,,
WP_000443530.1,1.1.1.-,Enzyme,1.0,,,
Dtdp-4-dehydrorhamnose reductase,1.1.1.133,Enzyme,0.5,,,
WP_000444929.1,3.5.1.-,Enzyme,1.0,,,
Acetolactate synthase,2.2.1.6,Enzyme,1.0,,,
WP_000932839.1,2.1.1.170,Enzyme,0.5,,,
WP_000669834.1,-,Enzyme,0.5,,,
"2',3'-cyclic-nucleotide 2'-phosphodiesterase",3.1.4.16,Enzyme,2.0,,,
WP_001092082.1,3.4.16.4,Enzyme,0.5,,,
Homoserine dehydrogenase,1.1.1.3,Enzyme,0.0,,,
WP_001043339.1,-,Enzyme,0.0,,,
WP_000173474.1,2.1.2.-,Enzyme,1.0,,,
Phosphoribosylformylglycinamidine cyclo-ligase,6.3.3.1,Enzyme,0.0,,,
Assimilatory sulfite reductase (nadph),1.8.1.2,Enzyme,0.5,,,
Dna-directed dna polymerase,2.7.7.7,Enzyme,0.5,,,
WP_000228473.1,-,Enzyme,0.5,,,
Cysteine synthase,2.5.1.47,Enzyme,1.5,,,
Acetolactate synthase,2.2.1.6,Enzyme,1.0,,,
WP_001118446.1,1.8.4.-,Enzyme,0.0,,,
Succinate dehydrogenase,1.3.5.1,Enzyme,0.5,,,
WP_001157407.1,2.8.1.-,Enzyme,0.5,,,
Amp nucleosidase,3.2.2.4,Enzyme,1.0,,,
WP_001185665.1,-,Enzyme,1.5,,,
WP_000973448.1,-,Enzyme,0.0,,,
WP_001213584.1,3.1.3.104,Enzyme,0.0,,,
